Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2018-05-03 08:52:27.9, 89.4332, 2.145818, 200, 101.1526
2018-05-03 08:52:42.9, 86.56418, 2.161041, 200, 101.1555
2018-05-03 08:52:58.0, 83.5347, 2.17735, 200, 101.1597
2018-05-03 08:53:13.0, 77.0228, 2.213255, 200, 101.1555
2018-05-03 08:53:28.1, 70.25604, 2.251842, 200, 101.1599
2018-05-03 08:53:43.2, 64.06818, 2.288324, 200, 101.1514
2018-05-03 08:53:58.3, 58.18954, 2.324095, 200, 101.1494
2018-05-03 08:54:13.4, 53.11496, 2.355885, 200, 101.1563
2018-05-03 08:54:28.4, 48.50021, 2.385559, 200, 101.1577
2018-05-03 08:54:43.5, 44.47565, 2.412056, 200, 101.1538
2018-05-03 08:54:58.6, 40.89847, 2.436105, 200, 101.1545
2018-05-03 08:55:13.7, 37.76212, 2.457589, 200, 101.1555
2018-05-03 08:55:28.8, 34.67184, 2.479131, 200, 101.1575
2018-05-03 08:55:43.8, 31.83499, 2.499243, 200, 101.1592
2018-05-03 08:55:58.9, 29.40094, 2.51676, 200, 101.1565
2018-05-03 08:56:14.0, 27.1091, 2.533479, 200, 101.1602
2018-05-03 08:56:29.0, 24.94351, 2.549484, 200, 101.1567
2018-05-03 08:56:44.1, 22.95047, 2.564392, 200, 101.1563
2018-05-03 08:56:59.2, 21.17914, 2.57779, 200, 101.1545
2018-05-03 08:57:14.3, 19.51422, 2.59051, 200, 101.1587
2018-05-03 08:57:29.4, 17.89847, 2.602976, 200, 101.1563
2018-05-03 08:57:44.4, 16.42923, 2.614416, 200, 101.1555
2018-05-03 08:57:59.5, 15.00424, 2.625607, 200, 101.1563
2018-05-03 08:58:14.6, 13.74936, 2.635543, 200, 101.1575
2018-05-03 08:58:29.6, 12.73541, 2.643626, 200, 101.1575
2018-05-03 08:58:44.7, 11.73111, 2.651681, 200, 101.1516
2018-05-03 08:58:59.8, 10.72501, 2.6598, 200, 101.1543
2018-05-03 08:59:14.9, 9.874542, 2.666702, 200, 101.1489
2018-05-03 08:59:30.0, 9.112244, 2.672919, 200, 101.1543
2018-05-03 08:59:45.0, 8.468567, 2.678191, 200, 101.1538
2018-05-03 09:00:00.1, 7.908844, 2.682792, 200, 101.1572
2018-05-03 09:00:15.2, 7.579742, 2.685505, 200, 101.1533
2018-05-03 09:00:30.3, 7.253357, 2.688201, 200, 101.1563
2018-05-03 09:00:45.3, 7.06308, 2.689775, 200, 101.1541
2018-05-03 09:01:00.3, 6.893738, 2.691178, 200, 101.1436
2018-05-03 09:01:15.4, 6.737335, 2.692474, 200, 101.1506
2018-05-03 09:01:30.5, 6.651306, 2.693188, 200, 101.155
2018-05-03 09:01:45.5, 6.614502, 2.693494, 200, 101.1504
2018-05-03 09:02:00.6, 6.518707, 2.694289, 200, 101.158
2018-05-03 09:02:15.7, 6.467285, 2.694716, 200, 101.1599
2018-05-03 09:02:30.8, 6.460938, 2.694769, 200, 101.1597
2018-05-03 09:02:45.8, 6.421417, 2.695097, 200, 101.1536
2018-05-03 09:03:00.8, 6.296295, 2.696138, 200, 101.1587
2018-05-03 09:03:15.9, 6.083008, 2.697913, 200, 101.1541
2018-05-03 09:03:31.0, 5.885773, 2.699556, 200, 101.1602
2018-05-03 09:03:46.0, 5.636353, 2.701638, 200, 101.1628
2018-05-03 09:04:01.1, 5.352448, 2.70401, 200, 101.1633
2018-05-03 09:04:16.2, 5.044159, 2.706592, 200, 101.1619
2018-05-03 09:04:31.3, 4.747131, 2.709084, 200, 101.1558
2018-05-03 09:04:46.4, 4.524963, 2.710951, 200, 101.155
2018-05-03 09:05:01.4, 4.295837, 2.712879, 200, 101.1584
