Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-11 17:50:31.4, 74.0336, 1.870845, 200, 99.59375
2017-05-11 17:50:46.4, 72.88312, 1.877184, 200, 99.59473
2017-05-11 17:51:01.5, 72.47092, 1.879466, 200, 99.59277
2017-05-11 17:51:16.7, 71.39011, 1.885475, 200, 99.5918
2017-05-11 17:51:31.8, 71.38474, 1.885505, 200, 99.5896
2017-05-11 17:51:46.8, 70.22006, 1.892024, 200, 99.59009
2017-05-11 17:52:01.9, 69.62521, 1.895371, 200, 99.59058
2017-05-11 17:52:17.0, 69.16498, 1.897969, 200, 99.58911
2017-05-11 17:52:32.1, 68.04602, 1.904314, 200, 99.58813
2017-05-11 17:52:47.2, 68.18509, 1.903523, 200, 99.58765
2017-05-11 17:53:02.2, 67.84402, 1.905464, 200, 99.59009
2017-05-11 17:53:17.3, 67.19528, 1.909167, 200, 99.58838
2017-05-11 17:53:32.4, 66.51514, 1.913064, 200, 99.58887
2017-05-11 17:53:47.5, 65.8631, 1.916816, 200, 99.58423
2017-05-11 17:54:02.5, 65.55228, 1.918609, 200, 99.58862
2017-05-11 17:54:17.6, 65.1485, 1.920944, 200, 99.58765
2017-05-11 17:54:32.7, 65.68845, 1.917823, 200, 99.58472
2017-05-11 17:54:47.8, 65.44571, 1.919225, 200, 99.58447
2017-05-11 17:55:02.8, 65.63101, 1.918155, 200, 99.58472
2017-05-11 17:55:17.9, 66.06442, 1.915656, 200, 99.58643
2017-05-11 17:55:33.0, 66.10843, 1.915403, 200, 99.58252
2017-05-11 17:55:48.1, 66.83777, 1.911214, 200, 99.58496
2017-05-11 17:56:03.1, 67.55228, 1.907128, 200, 99.58374
2017-05-11 17:56:18.3, 68.02438, 1.904437, 200, 99.58496
2017-05-11 17:56:33.3, 69.0358, 1.898699, 200, 99.58276
2017-05-11 17:56:48.4, 69.29132, 1.897255, 200, 99.58252
2017-05-11 17:57:03.4, 70.55554, 1.890142, 200, 99.58105
2017-05-11 17:57:18.5, 70.94421, 1.887966, 200, 99.58374
2017-05-11 17:57:33.6, 71.99594, 1.882102, 200, 99.58374
2017-05-11 17:57:48.7, 72.49359, 1.879341, 200, 99.58228
2017-05-11 17:58:03.7, 73.37814, 1.874451, 200, 99.58398
2017-05-11 17:58:18.7, 73.45667, 1.874019, 200, 99.58325
2017-05-11 17:58:33.8, 74.04477, 1.870784, 200, 99.58545
2017-05-11 17:58:48.9, 74.43411, 1.868648, 200, 99.58545
2017-05-11 17:59:04.0, 75.67078, 1.861898, 200, 99.58325
2017-05-11 17:59:19.0, 75.70477, 1.861713, 200, 99.58203
2017-05-11 17:59:34.1, 77.01785, 1.854599, 200, 99.58496
2017-05-11 17:59:49.1, 77.34421, 1.85284, 200, 99.58569
2017-05-11 18:00:04.2, 77.49475, 1.852029, 200, 99.58276
2017-05-11 18:00:19.2, 77.88873, 1.849911, 200, 99.58521
2017-05-11 18:00:34.3, 78.74533, 1.845324, 200, 99.58398
2017-05-11 18:00:49.4, 78.83948, 1.844821, 200, 99.58325
2017-05-11 18:01:04.4, 79.13162, 1.843262, 200, 99.5835
2017-05-11 18:01:19.5, 80.29904, 1.83706, 200, 99.58228
2017-05-11 18:01:34.8, 80.66013, 1.83515, 200, 99.58472
2017-05-11 18:01:49.8, 80.87238, 1.834029, 200, 99.58594
2017-05-11 18:02:04.9, 81.58969, 1.830251, 200, 99.58838
2017-05-11 18:02:19.9, 82.12723, 1.82743, 200, 99.58716
2017-05-11 18:02:35.0, 82.50339, 1.825462, 200, 99.58447
2017-05-11 18:02:50.1, 82.68533, 1.824511, 200, 99.58252
2017-05-11 18:03:05.2, 83.30276, 1.821292, 200, 99.58179
2017-05-11 18:03:20.2, 84.00082, 1.817666, 200, 99.5835
2017-05-11 18:03:35.3, 83.38193, 1.82088, 200, 99.58301
2017-05-11 18:03:50.3, 83.86383, 1.818376, 200, 99.58496
2017-05-11 18:04:05.4, 84.22217, 1.816519, 200, 99.58447
2017-05-11 18:04:20.4, 84.45959, 1.815291, 200, 99.58008
2017-05-11 18:04:35.5, 84.48822, 1.815143, 200, 99.5813
2017-05-11 18:04:50.6, 84.85223, 1.813263, 200, 99.58276
2017-05-11 18:05:05.7, 84.62927, 1.814414, 200, 99.58228
2017-05-11 18:05:20.8, 84.30603, 1.816085, 200, 99.58325
2017-05-11 18:05:35.8, 84.51212, 1.815019, 200, 99.57983
