Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-12 18:08:39.1, 81.20142, 2.263483, 200, 100.5588
2017-05-12 18:08:54.2, 81.79144, 2.260236, 200, 100.5649
2017-05-12 18:09:09.2, 82.26688, 2.257626, 200, 100.561
2017-05-12 18:09:24.3, 82.6561, 2.255494, 200, 100.5623
2017-05-12 18:09:39.4, 82.88535, 2.25424, 200, 100.5674
2017-05-12 18:09:54.4, 83.13141, 2.252896, 200, 100.5642
2017-05-12 18:10:09.5, 83.38156, 2.251531, 200, 100.5657
2017-05-12 18:10:24.6, 83.5473, 2.250628, 200, 100.5574
2017-05-12 18:10:39.7, 83.76038, 2.249467, 200, 100.5559
2017-05-12 18:10:54.8, 83.95093, 2.24843, 200, 100.561
2017-05-12 18:11:09.8, 84.12735, 2.247471, 200, 100.5583
2017-05-12 18:11:24.8, 84.32349, 2.246406, 200, 100.5562
2017-05-12 18:11:39.9, 84.59406, 2.244938, 200, 100.5588
2017-05-12 18:11:55.0, 84.77875, 2.243937, 200, 100.5625
2017-05-12 18:12:10.0, 84.97055, 2.242899, 200, 100.5632
2017-05-12 18:12:25.1, 85.15561, 2.241898, 200, 100.5588
2017-05-12 18:12:40.2, 85.30136, 2.24111, 200, 100.5591
2017-05-12 18:12:55.2, 85.48175, 2.240136, 200, 100.5601
2017-05-12 18:13:10.3, 85.76315, 2.238618, 200, 100.5605
2017-05-12 18:13:25.3, 85.89352, 2.237916, 200, 100.5601
2017-05-12 18:13:40.4, 85.92465, 2.237748, 200, 100.5635
2017-05-12 18:13:55.5, 86.06729, 2.23698, 200, 100.561
2017-05-12 18:14:10.6, 86.07263, 2.236951, 200, 100.5576
2017-05-12 18:14:25.6, 86.16498, 2.236454, 200, 100.5576
2017-05-12 18:14:40.7, 86.24362, 2.236031, 200, 100.5593
2017-05-12 18:14:55.8, 86.21536, 2.236183, 200, 100.5591
2017-05-12 18:15:10.8, 86.02075, 2.23723, 200, 100.5591
2017-05-12 18:15:25.9, 86.15594, 2.236503, 200, 100.5525
2017-05-12 18:15:41.0, 86.33627, 2.235533, 200, 100.5625
2017-05-12 18:15:56.1, 86.62366, 2.233989, 200, 100.5557
2017-05-12 18:16:11.2, 86.90042, 2.232504, 200, 100.5625
2017-05-12 18:16:26.3, 87.03223, 2.231798, 200, 100.5601
2017-05-12 18:16:41.3, 87.2612, 2.230572, 200, 100.5603
