DO,MO2
88.6827688,2.4
86.64490764,1.95
84.55032668,2.55
81.75285659,2.75
80.06559855,1.55
77.06480981,4.1
74.84239117,1.35
73.07921586,2.65
70.45876139,3
67.83712266,2.05
65.75064453,2.5
63.62053579,2
61.12199771,2.4
58.56393502,2.8
55.80373793,3
53.1323603,3.05
50.54949049,3.05
47.88471978,2.45
40.82285614,2.7
38.37642547,2.9
36.02859999,2.55
33.26746796,3
30.89321479,2.3
24.27432651,2
22.55939419,1.9
20.51598571,2.3
18.29824177,2.95
15.97534807,2.45
13.76919741,2.7
11.72098956,1.85
10.17671526,1.6
8.60370709,1.4
7.488259366,1.2
6.464248935,1.05
5.359958181,0.85
