DO,MO2
87.8590852,2.657142857
84.77782915,3
81.35662832,3.214285714
77.17986996,4.542857143
72.94900966,3.814285714
69.26247238,2.957142857
65.97309832,3.085714286
62.74511876,3.214285714
59.52873247,2.828571429
56.20314501,3.085714286
53.29622441,2.4
50.50143448,2.528571429
47.43202103,2.914285714
43.4659362,3.428571429
39.77248035,3.257142857
36.26912931,3.128571429
33.11158202,3.257142857
29.09868778,3.728571429
25.28231827,3.385714286
21.9338559,2.614285714
18.64417019,3.471428571
15.22309401,2.185714286
12.81480897,2.485714286
10.05511052,2.7
7.974927662,1.328571429
6.505573356,1.714285714
