Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-08 19:07:38.8, 99.62088, 2.073599, 200, 100.5437
2017-05-08 19:07:53.8, 99.73703, 2.073068, 200, 100.5371
2017-05-08 19:08:08.9, 99.60803, 2.073658, 200, 100.5479
2017-05-08 19:08:24.0, 99.69891, 2.073243, 200, 100.5356
2017-05-08 19:08:39.1, 99.28525, 2.075135, 200, 100.5488
2017-05-08 19:08:54.1, 99.3425, 2.074873, 200, 100.5371
2017-05-08 19:09:09.4, 99.58112, 2.073781, 200, 100.5454
2017-05-08 19:09:24.4, 99.41342, 2.074548, 200, 100.531
2017-05-08 19:09:39.5, 98.88589, 2.076965, 200, 100.5476
2017-05-08 19:09:54.5, 98.42041, 2.079103, 200, 100.5415
2017-05-08 19:10:09.6, 98.33115, 2.079513, 200, 100.5405
2017-05-08 19:10:24.7, 97.97882, 2.081135, 200, 100.5391
2017-05-08 19:10:39.8, 97.7767, 2.082066, 200, 100.5413
2017-05-08 19:10:54.9, 97.6037, 2.082864, 200, 100.5425
2017-05-08 19:11:09.9, 97.29086, 2.084308, 200, 100.5361
2017-05-08 19:11:25.0, 97.117, 2.085111, 200, 100.5459
2017-05-08 19:11:40.1, 96.862, 2.086291, 200, 100.533
2017-05-08 19:11:55.1, 96.63992, 2.087319, 200, 100.5483
2017-05-08 19:12:10.2, 96.66928, 2.087183, 200, 100.5327
2017-05-08 19:12:25.3, 96.59906, 2.087508, 200, 100.5454
2017-05-08 19:12:40.4, 96.39117, 2.088472, 200, 100.5349
2017-05-08 19:12:55.5, 96.57706, 2.08761, 200, 100.5476
2017-05-08 19:13:10.5, 96.34225, 2.088699, 200, 100.5381
2017-05-08 19:13:25.6, 96.27155, 2.089027, 200, 100.543
2017-05-08 19:13:40.7, 96.03351, 2.090132, 200, 100.5449
2017-05-08 19:13:55.8, 96.16122, 2.089539, 200, 100.5454
2017-05-08 19:14:10.8, 96.22952, 2.089222, 200, 100.5488
2017-05-08 19:14:25.8, 96.06497, 2.089986, 200, 100.5415
2017-05-08 19:14:40.9, 95.85123, 2.09098, 200, 100.5498
2017-05-08 19:14:56.0, 95.9888, 2.09034, 200, 100.5388
2017-05-08 19:15:11.0, 96.06406, 2.08999, 200, 100.5459
2017-05-08 19:15:26.1, 95.73099, 2.091539, 200, 100.5364
2017-05-08 19:15:41.2, 96.07056, 2.08996, 200, 100.5417
2017-05-08 19:15:56.3, 95.99478, 2.090312, 200, 100.542
2017-05-08 19:16:11.3, 95.8027, 2.091205, 200, 100.5383
2017-05-08 19:16:26.4, 95.93896, 2.090572, 200, 100.5405
2017-05-08 19:16:41.5, 95.88742, 2.090811, 200, 100.5339
2017-05-08 19:16:56.6, 95.79871, 2.091224, 200, 100.5496
2017-05-08 19:17:11.7, 95.99756, 2.090299, 200, 100.5325
2017-05-08 19:17:26.7, 95.67545, 2.091797, 200, 100.5452
2017-05-08 19:17:41.8, 95.75653, 2.09142, 200, 100.5378
