Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-08 19:08:11.2, 99.33667, 1.735985, 200, 100.2212
2017-05-08 19:08:26.2, 99.2608, 1.736349, 200, 100.1948
2017-05-08 19:08:41.3, 100.0279, 1.732669, 200, 100.219
2017-05-08 19:08:56.4, 99.21561, 1.736567, 200, 100.1926
2017-05-08 19:09:11.5, 99.66571, 1.734405, 200, 100.2168
2017-05-08 19:09:26.5, 99.24136, 1.736443, 200, 100.1931
2017-05-08 19:09:41.6, 99.39651, 1.735697, 200, 100.2112
2017-05-08 19:09:56.7, 99.10867, 1.737081, 200, 100.2087
2017-05-08 19:10:11.7, 99.66772, 1.734395, 200, 100.1973
2017-05-08 19:10:26.8, 99.3671, 1.735838, 200, 100.208
2017-05-08 19:10:41.9, 99.65802, 1.734442, 200, 100.1958
2017-05-08 19:10:57.0, 99.78012, 1.733856, 200, 100.217
2017-05-08 19:11:12.1, 98.9267, 1.737957, 200, 100.1946
2017-05-08 19:11:27.1, 99.89648, 1.733298, 200, 100.2207
2017-05-08 19:11:42.2, 99.47781, 1.735307, 200, 100.1953
2017-05-08 19:11:57.3, 99.80106, 1.733756, 200, 100.22
2017-05-08 19:12:12.4, 98.69272, 1.739085, 200, 100.1917
2017-05-08 19:12:27.5, 99.36707, 1.735839, 200, 100.2158
2017-05-08 19:12:42.6, 99.07611, 1.737238, 200, 100.1968
2017-05-08 19:12:57.6, 98.73541, 1.738879, 200, 100.21
2017-05-08 19:13:12.7, 99.61438, 1.734651, 200, 100.2095
2017-05-08 19:13:27.7, 99.10486, 1.737099, 200, 100.2141
2017-05-08 19:13:42.8, 99.22369, 1.736528, 200, 100.217
2017-05-08 19:13:57.9, 99.1965, 1.736659, 200, 100.2056
2017-05-08 19:14:13.0, 99.18304, 1.736723, 200, 100.2236
2017-05-08 19:14:28.0, 99.1705, 1.736784, 200, 100.1985
2017-05-08 19:14:43.0, 99.22888, 1.736503, 200, 100.2278
2017-05-08 19:14:58.1, 98.54926, 1.739777, 200, 100.2068
2017-05-08 19:15:13.2, 99.05786, 1.737326, 200, 100.2151
2017-05-08 19:15:28.3, 98.72684, 1.73892, 200, 100.198
2017-05-08 19:15:43.3, 98.51898, 1.739923, 200, 100.2034
2017-05-08 19:15:58.4, 99.51276, 1.735139, 200, 100.21
