Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2017-05-08 19:08:58.5, 100.4256, 2.011513, 200, 100.9705
2017-05-08 19:09:13.5, 100.118, 2.012572, 200, 100.9797
2017-05-08 19:09:28.7, 100.0841, 2.012688, 200, 100.9768
2017-05-08 19:09:43.8, 100.1267, 2.012542, 200, 100.9744
2017-05-08 19:09:58.9, 100.3754, 2.011685, 200, 100.9812
2017-05-08 19:10:14.0, 100.5598, 2.011051, 200, 100.9673
2017-05-08 19:10:29.1, 100.0935, 2.012656, 200, 100.9836
2017-05-08 19:10:44.2, 100.0529, 2.012796, 200, 100.9636
2017-05-08 19:10:59.3, 100.3626, 2.011729, 200, 100.9895
2017-05-08 19:11:14.4, 100.2461, 2.01213, 200, 100.9617
2017-05-08 19:11:29.4, 100.3694, 2.011706, 200, 100.9919
2017-05-08 19:11:44.5, 100.1895, 2.012325, 200, 100.9683
2017-05-08 19:11:59.6, 100.3108, 2.011908, 200, 100.9902
2017-05-08 19:12:14.7, 100.7134, 2.010523, 200, 100.9736
2017-05-08 19:12:29.7, 100.2896, 2.011981, 200, 100.9868
2017-05-08 19:12:44.8, 100.1879, 2.012331, 200, 100.9805
2017-05-08 19:12:59.8, 100.3542, 2.011758, 200, 100.9773
2017-05-08 19:13:14.9, 100.1385, 2.012501, 200, 100.9868
2017-05-08 19:13:29.9, 100.0876, 2.012676, 200, 100.9768
2017-05-08 19:13:45.0, 100.4273, 2.011507, 200, 100.9924
2017-05-08 19:14:00.1, 100.2606, 2.01208, 200, 100.9773
2017-05-08 19:14:15.2, 100.0199, 2.012909, 200, 100.9958
2017-05-08 19:14:30.2, 100.1494, 2.012463, 200, 100.9727
2017-05-08 19:14:45.3, 100.156, 2.01244, 200, 100.991
2017-05-08 19:15:00.3, 99.80411, 2.013653, 200, 100.9792
2017-05-08 19:15:15.4, 99.92984, 2.01322, 200, 100.9844
2017-05-08 19:15:30.4, 100.4225, 2.011523, 200, 100.979
2017-05-08 19:15:45.5, 100.0675, 2.012745, 200, 100.9719
2017-05-08 19:16:00.6, 100.1318, 2.012524, 200, 100.9868
2017-05-08 19:16:15.7, 100.2091, 2.012258, 200, 100.9648
2017-05-08 19:16:30.8, 100.2535, 2.012105, 200, 100.9849
2017-05-08 19:16:45.8, 100.3183, 2.011882, 200, 100.9656
2017-05-08 19:17:00.9, 100.0541, 2.012791, 200, 100.9861
2017-05-08 19:17:16.0, 100.1889, 2.012327, 200, 100.9717
2017-05-08 19:17:31.0, 100.3698, 2.011705, 200, 100.9888
2017-05-08 19:17:46.1, 100.4367, 2.011475, 200, 100.978
2017-05-08 19:18:01.2, 100.2245, 2.012205, 200, 100.9775
2017-05-08 19:18:16.3, 100.3097, 2.011911, 200, 100.9849
2017-05-08 19:18:31.4, 100.1117, 2.012593, 200, 100.9785
2017-05-08 19:18:46.4, 100.3131, 2.0119, 200, 100.9851
2017-05-08 19:19:01.5, 100.2206, 2.012218, 200, 100.9731
2017-05-08 19:19:16.6, 100.1378, 2.012503, 200, 100.9875
2017-05-08 19:19:31.7, 100.0264, 2.012887, 200, 100.9753
2017-05-08 19:19:46.7, 100.3153, 2.011892, 200, 100.9932
2017-05-08 19:20:01.8, 100.1828, 2.012348, 200, 100.9744
2017-05-08 19:20:16.8, 100.1771, 2.012368, 200, 100.9924
2017-05-08 19:20:31.8, 100.0862, 2.012681, 200, 100.9702
2017-05-08 19:20:46.9, 100.0856, 2.012683, 200, 100.9937
2017-05-08 19:21:02.0, 100.2833, 2.012002, 200, 100.9651
2017-05-08 19:21:17.1, 100.1081, 2.012606, 200, 100.9897
2017-05-08 19:21:32.2, 100.2344, 2.012171, 200, 100.9675
2017-05-08 19:21:47.2, 100.2698, 2.012049, 200, 100.9805
2017-05-08 19:22:02.3, 100.063, 2.012761, 200, 100.978
2017-05-08 19:22:17.4, 100.2539, 2.012104, 200, 100.9797
2017-05-08 19:22:32.5, 99.9664, 2.013094, 200, 100.9814
2017-05-08 19:22:47.6, 99.98672, 2.013024, 200, 100.9697
2017-05-08 19:23:02.6, 100.1358, 2.01251, 200, 100.9792
2017-05-08 19:23:17.7, 100.0994, 2.012635, 200, 100.9641
2017-05-08 19:23:32.8, 99.66367, 2.014137, 200, 100.9797
2017-05-08 19:23:47.8, 99.75955, 2.013807, 200, 100.9595
2017-05-08 19:24:03.0, 99.78958, 2.013703, 200, 100.9763
2017-05-08 19:24:18.0, 100.0367, 2.012851, 200, 100.96
2017-05-08 19:24:33.1, 100.0147, 2.012927, 200, 100.9685
2017-05-08 19:24:48.2, 100.1987, 2.012294, 200, 100.9666
2017-05-08 19:25:03.2, 99.96616, 2.013094, 200, 100.9614
2017-05-08 19:25:18.3, 100.0779, 2.01271, 200, 100.9719
2017-05-08 19:25:33.4, 99.86105, 2.013457, 200, 100.96
2017-05-08 19:25:48.4, 99.77567, 2.013751, 200, 100.9773
2017-05-08 19:26:03.4, 99.82242, 2.01359, 200, 100.9583
2017-05-08 19:26:18.5, 99.69504, 2.014029, 200, 100.9778
2017-05-08 19:26:33.6, 99.78366, 2.013723, 200, 100.9629
2017-05-08 19:26:48.7, 99.98734, 2.013021, 200, 100.979
2017-05-08 19:27:03.7, 100.0131, 2.012933, 200, 100.9602
2017-05-08 19:27:18.8, 100.0361, 2.012853, 200, 100.9751
2017-05-08 19:27:33.9, 99.72409, 2.013929, 200, 100.9724
2017-05-08 19:27:48.9, 99.73709, 2.013884, 200, 100.9688
2017-05-08 19:28:04.0, 99.87698, 2.013402, 200, 100.9717
2017-05-08 19:28:19.1, 99.85422, 2.01348, 200, 100.957
2017-05-08 19:28:34.2, 99.99503, 2.012995, 200, 100.9802
2017-05-08 19:28:49.3, 99.94833, 2.013156, 200, 100.9529
2017-05-08 19:29:04.3, 100.0996, 2.012635, 200, 100.9824
2017-05-08 19:29:19.4, 100.018, 2.012916, 200, 100.9551
2017-05-08 19:29:34.6, 99.73563, 2.013889, 200, 100.978
2017-05-08 19:29:49.6, 100.2915, 2.011974, 200, 100.9578
2017-05-08 19:30:04.7, 99.85159, 2.013489, 200, 100.9741
2017-05-08 19:30:19.7, 99.94894, 2.013154, 200, 100.9641
2017-05-08 19:30:34.8, 99.84445, 2.013514, 200, 100.9661
2017-05-08 19:30:49.9, 99.55948, 2.014497, 200, 100.9692
2017-05-08 19:31:04.9, 99.97647, 2.013059, 200, 100.9546
2017-05-08 19:31:20.0, 99.56046, 2.014493, 200, 100.9712
2017-05-08 19:31:35.1, 99.66183, 2.014143, 200, 100.9456
2017-05-08 19:31:50.2, 99.63309, 2.014243, 200, 100.9695
2017-05-08 19:32:05.3, 99.77481, 2.013754, 200, 100.9504
2017-05-08 19:32:20.3, 99.45096, 2.014871, 200, 100.9653
2017-05-08 19:32:35.4, 99.76456, 2.013789, 200, 100.9485
2017-05-08 19:32:50.5, 99.69168, 2.01404, 200, 100.9592
2017-05-08 19:33:05.6, 99.97147, 2.013076, 200, 100.9597
2017-05-08 19:33:20.7, 99.53171, 2.014592, 200, 100.9514
2017-05-08 19:33:35.7, 99.84891, 2.013499, 200, 100.9646
2017-05-08 19:33:50.8, 99.5657, 2.014475, 200, 100.947
2017-05-08 19:34:05.9, 100.0916, 2.012662, 200, 100.9629
2017-05-08 19:34:20.9, 99.98343, 2.013035, 200, 100.9485
2017-05-08 19:34:36.0, 99.68564, 2.014061, 200, 100.9609
2017-05-08 19:34:51.1, 99.65585, 2.014164, 200, 100.95
2017-05-08 19:35:06.1, 99.75949, 2.013807, 200, 100.9524
2017-05-08 19:35:21.2, 99.73813, 2.01388, 200, 100.949
