"times","filetitle"
145,"R_fishMO2_O2crit_10Jul2017 NFB0008 OLMA 20C Pcrit-MinMO2.csv"
160,"R_fishMO2_O2crit_10Jul2017 NFB0010 OLMA 20C Pcrit-MinMO2.csv"
115,"R_fishMO2_O2crit_10Jul2017 NFB0013 OLMA 20C Pcrit-MinMO2.csv"
105,"R_fishMO2_O2crit_11Aug2017 NFB0008 HEHE-I 16C Pcrit-MinMO2.csv"
130,"R_fishMO2_O2crit_11Aug2017 NFB0010 HEHE-I 16C Pcrit-MinMO2.csv"
160,"R_fishMO2_O2crit_11Aug2017 NFB0013 HEHE-I 16C Pcrit-MinMO2.csv"
85,"R_fishMO2_O2crit_11Jul2017 NFB0008 ARFE 20C Pcrit-MinMO2.csv"
155,"R_fishMO2_O2crit_11Jul2017 NFB0008 ARFE 20C Pcrit-MinMO2_1-MIN-INTS.csv"
75,"R_fishMO2_O2crit_11Jul2017 NFB0010 ARFE 20C Pcrit-MinMO2.csv"
140,"R_fishMO2_O2crit_11Jul2017 NFB0010 ARFE 20C Pcrit-MinMO2_1-MIN-INTS.csv"
85,"R_fishMO2_O2crit_11Jul2017 NFB0013 ARFE 20C Pcrit-MinMO2.csv"
155,"R_fishMO2_O2crit_11Jul2017 NFB0013 ARFE 20C Pcrit-MinMO2_1-MIN-INTS.csv"
125,"R_fishMO2_O2crit_11May2017 NFB0009 ARLA test 1 Pcrit-CLOSED_OutlierRemoved.csv"
150,"R_fishMO2_O2crit_11May2017 NFB0010 ARLA test 1 Pcrit-CLOSED_AllData.csv"
145,"R_fishMO2_O2crit_11May2017 NFB0010 ARLA test 1 Pcrit-CLOSED_Post-2sigma.csv"
95,"R_fishMO2_O2crit_11May2017 NFB0012 ARLA test 1 Pcrit-CLOSED_AllDataGood.csv"
130,"R_fishMO2_O2crit_11May2017 NFB0014 ARLA test 1 Pcrit-CLOSED_AllData.csv"
125,"R_fishMO2_O2crit_11Sep2017 NFB0008 ENBI-I 20C Pcrit-MinMO2.csv"
110,"R_fishMO2_O2crit_11Sep2017 NFB0010 ENBI-I 20C Pcrit-MinMO2.csv"
100,"R_fishMO2_O2crit_11Sep2017 NFB0013 ENBI-I 20C Pcrit-MinMO2.csv"
80,"R_fishMO2_O2crit_12Aug2017 NFB0008 SCMA-I 16C Pcrit-MinMO2.csv"
80,"R_fishMO2_O2crit_12Aug2017 NFB0010 SCMA-I 16C Pcrit-MinMO2.csv"
140,"R_fishMO2_O2crit_12Aug2017 NFB0013 SCMA-I 16C Pcrit-MinMO2.csv"
130,"R_fishMO2_O2crit_12May2017 NFB0010 ARFE test 1 Pcrit-CLOSED_AllDataGood.csv"
90,"R_fishMO2_O2crit_12May2017 NFB0012 ARFE test 1 Pcrit-CLOSED_AllDataGood.csv"
75,"R_fishMO2_O2crit_12May2017 NFB0014 ARFE test 1 Pcrit-CLOSED_AllDataGood.csv"
185,"R_fishMO2_O2crit_12May2017 NFB0014 ARFE test 1 Pcrit-CLOSED_UncorrData-2minSampling.csv"
