body_weight_g,mo2_mgO2_perg_perh,temp
0.026213881,0.297101199,15
0.024955567,0.291218599,15
0.026429684,0.283518414,15
0.165835223,0.155051252,15
0.154039096,0.152494033,15
0.155307206,0.145036843,15
1.492553905,0.131759759,15
1.580718551,0.130873955,15
1.674091053,0.127840002,15
5.820996454,0.147892228,15
5.14739668,0.122257132,15
6.370366892,0.118211805,15
0.035213938,0.452522599,20
0.033523606,0.460171951,20
0.131819202,0.295596042,20
0.163138132,0.292580186,20
0.175631052,0.267314932,20
5.189772071,0.113970228,20
6.015059401,0.11168998,20
5.965945395,0.101374345,20
1.674091053,0.24122857,20
1.480366943,0.356695398,20
1.567811709,0.290895225,20
0.024549698,0.840066856,30
0.025787547,0.730016982,30
0.030884762,0.691873431,30
0.147852178,0.496145112,30
0.144259954,0.454866923,30
0.160484906,0.400573466,30
2.071838422,0.473704702,30
1.555010254,0.356676527,30
1.456290732,0.356701688,30
1.877708298,0.314075497,30
4.551745184,0.261092644,30
4.665088432,0.23149068,30
5.105367291,0.22839462,30
